sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
NA	NA	SAMN39507671	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507671	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507674	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507674	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507674	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507675	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507675	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507676	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507677	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507679	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507680	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507681	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507682	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507683	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507684	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507684	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507685	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507686	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507686	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507686	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507686	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507688	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507689	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507690	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507691	tet(M)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507691	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507692	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
NA	NA	SAMN39507692	mef(A)	Erythromycin, Azithromycin	atb
NA	NA	SAMN39507692	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507693	tet(O)	Doxycycline, Tetracycline, Minocycline	atb
NA	NA	SAMN39507694	erm(A)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	atb
