sample_key	GTDB_214	Sample	Resistance gene	Phenotype	source
111ap	parasanguinis	111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
111ap	parasanguinis	111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
111ap	parasanguinis	111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
118ap	parasanguinis	118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
118ap	parasanguinis	118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
118ap	parasanguinis	118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
118ap	parasanguinis	118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
118ap	parasanguinis	118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
118pp	parasanguinis	118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
118pp	parasanguinis	118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
118pp	parasanguinis	118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
118pp	parasanguinis	118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
118pp	parasanguinis	118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
124ap	parasanguinis	124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	msr(D)	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
124ap	parasanguinis	124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	mef(A)	Erythromycin, Azithromycin	rmarvig
124ap	parasanguinis	124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
124ap	parasanguinis	124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
150cp	parasanguinis	150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
150cp	parasanguinis	150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	erm(B)	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	rmarvig
150cp	parasanguinis	150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tetA(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
150cp	parasanguinis	150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tetB(46)	Doxycycline, Tetracycline, Tigecycline	rmarvig
150cp	parasanguinis	150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tet(M)	Doxycycline, Tetracycline, Minocycline	rmarvig
NA	NA	SAMEA104138650	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138650	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138654	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138654	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138659	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138659	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138660	tetA(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA104138660	tetB(46)	Doxycycline, Tetracycline, Tigecycline	atb
NA	NA	SAMEA114309588	lsa(C)	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	atb
