genome_id	species
SAMN10478698	sanguinis
SAMN20399946	sanguinis
SAMN20399954	sanguinis
SAMN20399955	sanguinis
SAMN20399956	sanguinis
SAMN20399957	sanguinis
SAMN20399962	sanguinis
SAMN26876568	sanguinis
SAMN09631762	sanguinis_G
SAMEA104055291	sanguinis_H
SAMEA104138647	sanguinis_H
SAMEA10427927	sanguinis_H
SAMEA10428063	sanguinis_H
SAMEA3882117	sanguinis_H
SAMEA3882124	sanguinis_H
SAMEA5192269	sanguinis_H
SAMEA5192275	sanguinis_H
SAMEA5192278	sanguinis_H
SAMEA5192279	sanguinis_H
SAMEA5192285	sanguinis_H
SAMEA5192286	sanguinis_H
SAMEA53086918	sanguinis_H
SAMEA5390863	sanguinis_H
SAMEA5390917	sanguinis_H
SAMN09631763	sanguinis_H
SAMN09631774	sanguinis_H
SAMN18980384	sanguinis_H
SAMN20399953	sanguinis_H
SAMN20399958	sanguinis_H
SAMN20399959	sanguinis_H
SAMN20399960	sanguinis_H
SAMN20399961	sanguinis_H
SAMN20399964	sanguinis_H
SAMN20399965	sanguinis_H
SAMN42177342	sanguinis_H
SAMN42177344	sanguinis_H
SAMN42177345	sanguinis_H
SAMN42177346	sanguinis_H
SAMN42177347	sanguinis_H
SAMEA104113802	sp001553685
SAMEA110129251	sp001553685
SAMEA1886111	sp001553685
SAMN04477560	sp001553685
SAMN16913260	sp001553685
SAMEA104042163	sp001556435
SAMEA104138629	sp001556435
SAMEA104138639	sp001556435
SAMEA104703319	sp001556435
SAMEA4362446	sp001556435
SAMEA4362454	sp001556435
SAMEA5379075	sp001556435
SAMEA5390855	sp001556435
SAMEA6160297	sp001556435
SAMEA7117751	sp001556435
SAMEA7510350	sp001556435
SAMEA7510351	sp001556435
SAMEA9956663	sp001556435
SAMN03197330	sp001556435
SAMN04480035	sp001556435
SAMN04498619	sp001556435
SAMN04875577	sp001556435
SAMN07563134	sp001556435
SAMN07638970	sp001556435
SAMN11849394	sp001556435
SAMN11849395	sp001556435
SAMN11849396	sp001556435
SAMN11849404	sp001556435
SAMN11849406	sp001556435
SAMN11849407	sp001556435
SAMN11849410	sp001556435
SAMN11849412	sp001556435
SAMN11849413	sp001556435
SAMN11849414	sp001556435
SAMN11849415	sp001556435
SAMN11849416	sp001556435
SAMN11849420	sp001556435
SAMN11849427	sp001556435
SAMN16357214	sp001556435
SAMN23168446	sp001556435
SAMN26876595	sp001556435
SAMN30098130	sp001556435
SAMN30469915	sp001556435
SAMN30578098	sp001556435
SAMN30578099	sp001556435
SAMN30578100	sp001556435
SAMN30578101	sp001556435
SAMN38063063	sp001556435
SAMN41082110	sp001556435
SAMN41327426	sp001556435
SAMN41328020	sp001556435
SAMN41328512	sp001556435
SAMN41328580	sp001556435
SAMN41328620	sp001556435
SAMN41328701	sp001556435
SAMN41329018	sp001556435
SAMN41329462	sp001556435
SAMN41594762	sp001556435
SAMN41594763	sp001556435
SAMN41594764	sp001556435
SAMEA104138589	sp001808705
SAMEA104151610	sp001808705
SAMEA104151611	sp001808705
SAMEA104151622	sp001808705
